wod1,wod2
CrossFit Games Event 9,"Complete as many reps as possible in 6 minutes of:
20 calorie Row
30 Wallball Shots, 20 pound ball
20 Toes to bar
30 Box jumps, 24"" box
20 Sumo-deadlit high-pull, 108 pound kettlebell
30 Burpees
20 Shoulder to overhead, 135 pounds
120 foot Sled pull, sled plus 165 pounds"
CrossFit Games Event 8,"Complete as many reps as possible in 3 minutes of:
20 calorie Row
30 Wallball Shots, 20 pound ball
20 Toes to bar
30 Box jumps, 24"" box
20 Sumo-deadlit high-pull, 108 pound kettlebell
30 Burpees
20 Shoulder to overhead, 135 pounds
120 foot Sled pull, sled plus 165 pounds"
Rest Day,
Perform the following tests:,"L-sit for time.
Handstand walk for distance.
Chest to bar weighted pull-up for load.
Snatch 1 rep for load."
"For time:
5 muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 50 yards
5 muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 100 yards
5 Muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 150 yards
5 muscle ups
245 pound Deadlift, 10 reps
15 GHD Sit-ups
Sprint 200 yards","Josh Bridges 7:14, Michelle Kinney 8:36. Post time to comments."
"For time:
15 foot Rope climb, 5 ascents
145 pound Clean and jerk, 5 reps
15 foot Rope climb, 4 ascents
165 pound Clean and jerk, 4 reps
15 foot Rope climb, 3 ascents
185 pound Clean and jerk, 3 reps
15 foot Rope climb, 2 ascents
205 pound Clean and jerk, 2 reps
15 foot Rope climb, 1 ascent
225 pound Clean and jerk, 1 rep",Post time to comments.
Rest Day,
"Three rounds, 12-9- and 6 reps, for time of:
135 pound Squat clean and jerk
Muscle-up",Post times to comments.
"Three rounds for time of:
Run 800 meters
Rest 2 minutes",Post time to comments.
"""Jackie""","1000 meter row
45 pound Thruster, 50 reps
30 pull-ups"
Rest Day,
Weighted dip 3-2-2-2-1-1-1-1-1 reps,"Dave Lipson: 72-100-135-150-162-167-172-177lbs.
Kevin Montoya: 70,70,75,80,90,100,115,125,135(fail)lbs.
James Hobart: 53-53-72-72-72-72-72-72lbs.
Kim Malz: 35-50-60-65-67-67-67(fail)-67-67lbs.
Post loads to comments."
"""Helen""","Three rounds for time:
Run 400 meters
1 1/2 pood Kettlebell X 21 swings (or 55 pound dumbbell swing)
12 Pull-ups"
"Three rounds for time of:
30 Wallball shots, 20 pound ball (10.5 foot target)
75 pound Squat snatches, 30 reps (movement initiates with barbell below the knees)","Jason Khalipa 11:18, Carey Kepler 11:01. Post time to comments."
Rest Day,
Weighted push-up 1-1-1-1-1-1-1 reps,"Pat Barber 190lbs, Lucas Zepeda 160lbs, Kevin Montoya 100lbs, Laurie Galassi 90lbs, Danielle Edmundson 75lbs.
Post loads to comments."
"""Manion""","Seven rounds for time of:
Run 400 meters
135 pound Back squat, 29 reps"
2010 Northwest Regional Event 1,"Three rounds for time of:
135 pound Overhead squat, 10 reps
50 Double-unders"
Rest Day,
"""Barbara""","Five rounds, each for time of:
20 Pull-ups
30 Push-ups
40 Sit-ups
50 Squats"
Front Squat 1-10-1-20-1-30 reps,"Pat Barber: 335-275-345-225-355(fail)-200lbs(fail).
Laurie Galassi: 175-145-185-135-180-115lbs.
Post loads to comments."
"Three rounds for time of:
50 pound dumbbell Waiter walk, 100 meters, Right arm
30 GHD Sit-ups
50 pound dumbbell Waiter walk, 100 meters, Left arm
30 Back extensions","Bill Grundler 14:04, Kevin Montoya 16:46, Justin Judkins 21:21.
Post time to comments."
Rest Day,
"For time:
21 Pull-ups
21 Handstand Push-ups
18 Pull-ups
18 Handstand Push-ups
15 Pull-ups
15 Handstand Push-ups
12 Pull-ups
12 Handstand Push-ups
9 Pull-ups
9 Handstand Push-ups
6 Pull-ups
6 Handstand Push-ups
3 Pull-ups
3 Handstand Push-ups
Handstand push-ups are ""nose to floor"" and pull-ups are ""strict"" or non-kipping.",Post time to comments.
Snatch one rep every minute on the minute for 15 minutes.,Chris Spealler 200-180lbs. Post the highest and lowest loads to comments.
"Five rounds for time of:
Run 400 meters
145 pound Deadlift, 20 reps
20 Push-ups
145 pound Deadlift, 10 reps
10 Push-ups",Post time to comments.
Rest Day,
Weighted pull-ups 1-1-1-1-1-1-1 reps,Post loads and body weight to comments.
"""DT""","Five rounds for time of:
155 pound Deadlift, 12 reps
155 pound Hang power clean, 9 reps
155 pound Push jerk, 6 reps"
"Five rounds for time of:
15 foot L-rope climb, 1 ascent
5 Parallette handstand push-ups
45 pound barbell One-legged overhead squat, 10 reps","For the rope climb, begin seated on the ground. For the handstand push-ups, the ears should dip below hand level. For the one-legged squats, alternate legs."
Rest Day,
"""Morrison""","50-40-30-20 and 10 rep rounds of:
Wall ball shots, 20 pound ball
Box jump, 24 inch box
Kettlebell swings, 1.5 pood"
Shoulder Press 5-5-5-5-5 reps,Post loads to comments.
"Three rounds for time of:
135 pound Front squat, 12 reps
12 Burpee pull-ups",Post time to comments.
Rest Day,
Deadlift 3-3-3-3-3 reps,Post loads to comments.
"For time:
50 Box jump, 24 inch box
50 Jumping pull-ups
50 Kettlebell swings, 1 pood
Walking Lunge, 50 steps
50 Knees to elbows
50 Push press, 45 pounds
50 Back extensions
50 Wall ball shots, 20 pound ball
50 Burpees
50 Double unders",Post time to comments.
"Complete as many rounds in 20 minutes as you can of:
7 Handstand push-ups
12 L-Pull-ups",Post rounds and fractions of rounds completed to comments.
Rest Day,
"For time:
Run 800 meters
Snatch, 30 reps
Run 800 meters",Post load and total time to comments.
"For time:
Run 800 meters
30 Muscle-ups
Run 800 meters",Keegan Martin 12:20 (age 17). Post time to comments.
"For time:
Run 800 meters
Clean and Jerk, 30 reps
Run 800 meters","Keegan Martin 11:04 at 135lbs (age 17), Alyssa Ross 13:37 at 95lbs (age 17).
Post load and total time to comments."
Rest Day,
Deadlift 3-3-3-3-3 reps,Cole (age 15) 305-355-385-405-435. Post loads to comments.
"""Nate""","Complete as many rounds in twenty minutes as you can of:
2 Muscle-ups
4 Handstand Push-ups
8 2-Pood Kettlebell swings"
"Three rounds for time of:
50 Double-unders
25 Wallball ""2-fer-1s"", 20 pound ball",Post time to comments.
Rest Day,
"""Badger""","Complete three rounds for time of:
95 pound Squat clean, 30 reps
30 Pull-ups
Run 800 meters"
Clean and Jerk 1-1-1-1-1-1-1 reps,Post loads to comments.
"""Nancy""","5 rounds for time of:
400 meter run
95 pound Overhead squat, 15 reps"
Rest Day,
"""Fran""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Thruster
Pull-ups"
Back Squat 3-3-3-3-3 reps,Post loads to comments.
"""Small""","Three rounds for time of:
Row 1000 meters
50 Burpees
50 Box jumps, 24"" box
Run 800 meters"
Rest Day,
"For time:
225 pound Deadlift, 21 reps
50 Squats
135 pound Push press, 21 reps
225 pound Deadlift, 15 reps
50 Squats
135 pound Push press, 15 reps
225 pound Deadlift, 9 reps
50 Squats
135 pound Push press, 9 reps",Post time to comments.
"Complete as many rounds as possible in 15 minutes of:
15 ft Rope Climb, 1 ascent
10 Ring dips
20 Wall ball shots, 20 pound ball",Post rounds completed to comments.
Push Jerk 2-2-2-2-2-2-2-2-2-2 reps,Post load(s) to comments.
Rest Day,
Snatch balance 1-1-1-1-1-1-1,"Allison Bishop 133-138-153-158-163-168-173lbs.
Post loads to comments."
2011 CrossFit Games Regional Workout 6,"For time:
Row 20 calories
30 Burpees
45 pound Two-arm dumbbell ground-to-overhead, 40 reps
50 Toes to bar
100 foot Walking lunge with 45lb plate held overhead
150 foot Sprint"
2011 CrossFit Games Regional Workout 4,"For time:
100 Pull-ups
100 Kettlebell swings, 24kg
100 Double-unders
95 pound Overhead squat, 100 reps"
Rest Day,
"""Moon""","Seven rounds for time of:
40 pound dumbbell Hang split snatch, 10 reps Right arm
15 ft Rope Climb, 1 ascent
40 pound dumbbell Hang split snatch, 10 reps Left arm
15 ft Rope Climb, 1 ascent"
Power clean 1-1-1-1-1-1-1 reps,"Rob Orlando 295-315f-315-325f-325f-325f-325f lbs.
Post loads to comments."
"For time:
50 Pull-ups
10 Burpees
40 Pull-ups
20 Burpees
30 Pull-ups
30 Burpees
20 Pull-ups
40 Burpees
10 Pull-ups
50 Burpees",Post time to comments.
Rest Day,
"""Amanda""","Three rounds, 9-7- and 5 reps, for time of:
Muscle-up
135 pound Squat snatch"
2011 CrossFit Games Regional Workout 3,"21-15-9 reps for time of:
315 pound Deadlift
30"" Box jump"
2011 CrossFit Games Regional Workout 1,"For time:
Run 1000 meters
30 Handstand push-ups
Row 1000 meters"
Rest Day,
"Complete as many rounds as possible in 15 minutes of:
15 Chest to bar pull-ups
30 second Ring L-sit hold",Post rounds completed to comments.
"Five rounds for time of:
Swim 50 meters
25 Push-ups",Michael Giardina 10:12. Post time to comments.
"Seven rounds of:
35 Double-unders
1 Snatch",Make one snatch attempt per round.
Rest Day,
Run 1 mile,Post time to comments.
"""Wilmot""","Six rounds for time of:
50 Squats
25 Ring dips"
Weighted pull-ups 2-2-2-2-2-2-2 reps,"Michelle Kinney: 20-25-30-35-40-40-45lbs at 135lb BW.
Post loads and body weight to comments."
Rest Day,
Thruster 2-2-2-2-2-2-2,"Rob Orlando 205-225-245-265-285-305(fail)-305(fail)lbs.
Kristan Clever 145-155-160-165-165-150lbs.
Katie Hogan 145-155-165-175-180-180lbs.
Post load(s) to comments."
"Complete as many rounds as possible in five minutes of:
275 pound Deadlift, 3 reps
115 pound Push press, 7 reps","Ken Gall 9 rounds + 3 push press, Lucas Brainerd 7 rounds.
Post rounds completed to comments."
"Three rounds for time of:
95 pound Front squat, 21 reps
Handstand walk 40 feet
30 Glute-ham sit-ups
Handstand walk 40 feet",Post time to comments.
Rest Day,
"""CrossFit Total""","Back squat, 1 rep
Shoulder Press, 1 rep
Deadlift, 1 rep"
"Complete as many rounds as possible in 20 minutes of:
Run 400 meters
7 Muscle-ups","Keegan Martin (age 17) 7 rounds + 5 MU, Kristan Clever 7 rounds, Kevin Montoya 7 rounds, Jake Cutting 6 rounds + 6 MU, Rebecca Voigt 5 rounds, Philip Lamborn (age 17) 5 rounds.
Post rounds completed to comments."
"Five rounds for time of:
135 pound Overhead squat, 5 reps
10 Toes to bar
40 pound dumbbell Hang squat clean, 15 reps
20 Double-unders","Dave Lipson 9:03, Kristan Clever 14:04 (135lb OHS, 40lb dbs).
Post time to comments."
Rest Day,
"Complete as many rounds as possible in 20 minutes of:
5 Chest to bar Pull-ups
10 Wall ball shots, 20 pound ball
15 Kettlebell swings, 1.5 pood","Kim Malz 9 rounds + 4 pull-up (16lb ball, 1.5pood). Post rounds completed to comments."
"Five rounds for time of:
95 pound Thruster, 15 reps
15 Bar-facing burpees",Post time to comments.
"21-15-9 reps for time of:
24"" Box jump
75 pound Power snatch
Chest to bar Pull-up","Josh Everett 4:13, Kevin Montoya 6:13, Rebecca Voigt 8:47 (24"" box, 75lbs), Lindsey Valenzuela 9:44 (24"" box, 75lbs).
Post time to comments."
Rest Day,
"""Griff""","For time:
Run 800 meters
Run 400 meters backwards
Run 800 meters
Run 400 meters backwards"
Front Squat 5-5-5-5-5 reps,"Dave Lipson: 405, 415, 425, 430, 435lbs.
Post loads to comments."
"In honor of ""Jeremy""","Three rounds, 21-15- and 9 reps, for time of:
95 pound Overhead squats
Burpees"
Rest Day,
"Five rounds for time of:
15 Ring rows
155 pound Bench press, 15 reps
225 pound Back squat, 15 reps",Set up rings and box such that heels are at the height of the bottom of the rings.
"""Jackie""","1000 meter row
45 pound Thruster, 50 reps
30 pull-ups"
"""Moore""","Complete as many rounds in 20 minutes as you can of:
15 ft Rope Climb, 1 ascent
Run 400 meters
Max rep Handstand push-up"
Rest Day,
CrossFit Games Open 11.6,"Complete as many reps as possible in 7 minutes of the following rep scheme:
100 pound Thruster, 3 reps
3 Chest to bar Pull-ups
100 pound Thruster, 6 reps
6 Chest to bar Pull-ups
100 pound Thruster, 9 reps
9 Chest to bar Pull-ups
100 pound Thruster, 12 reps
12 Chest to bar Pull-ups
100 pound Thruster, 15 reps
15 Chest to bar Pull-ups
100 pound Thruster, 18 reps
18 Chest to bar Pull-ups
100 pound Thruster, 21 reps
21 Chest to bar Pull-ups..."
Deadlift 1-1-1-1-1-1-1 reps,"Jake Cutting 500-505-510-515-525-530-540lbs.
Connor Martin 365-385-400-410-420-430-435lbs.
Matt Ross (age 14) 135-185-225-235-255-290-320lbs.
Post loads to comments."
"""Tabata Something Else""","Complete 32 intervals of 20 seconds of work followed by ten seconds of rest where the first 8 intervals are pull-ups, the second 8 are push-ups, the third 8 intervals are sit-ups, and finally, the last 8 intervals are squats. There is no rest between exercises."
Rest Day,
"For time:
25 Walking lunge steps
20 Pull-ups
50 Box jumps, 20 inch box
20 Double-unders
25 Ring dips
20 Knees to elbows
30 Kettlebell swings, 2 pood
30 Sit-ups
20 Hang squat cleans, 35 pound dumbbells
25 Back extensions
30 Wall ball shots, 20 pound ball
3 Rope climb ascents","Rob Miller 9:50, Russell Berger 9:57, Andy Miller 10:55, Ken Gall 11:03, Kristan Clever 11:54 (1.5pood KB, 25lb DB, 16lb ball), Kevin Montoya 12:03, Michael Giardina 12:24, Leah Polaski 13:41 (1.5pood KB, 25lb DB, 14lb ball).
Post time to comments."
Row 2K,Scott Amory 6:23.9. Post time to comments.
CrossFit Games Open 11.5,"Complete as many rounds and reps in 20 minutes of:
145 pound Power clean, 5 reps
10 Toes to bar
15 Wall ball shots, 20 pound ball"
Rest Day,
Snatch 1-1-1-1-1-1-1 reps,Post loads to comments.
"Three rounds for time of:
Run 100 meters
50 Push-ups
Run 100 meters
50 Sit-ups
Run 100 meters
50 Squats
Run 100 meters
50 Back extensions",Post time to comments.
"""Hammer""","Five rounds, each for time, of:
135 pound Power clean, 5 reps
135 pound Front squat, 10 reps
135 pound Jerk, 5 reps
20 Pull-ups
Rest 90 seconds"
Rest Day,
"""Lynne""","Five rounds for max reps of:
Body weight bench press
Pull-ups"
400 meter Walking lunge,Post time and number of steps to comments.
CrossFit Games Open 11.4,"Complete as many rounds and reps as possible in 10 minutes of:
60 Bar-facing burpees
120 pound Overhead squat, 30 reps
10 Muscle-ups"
Rest Day,
"Resting 60 seconds between sets:
Press 2-2-2-2-2-2-2-2-2-2",Post load(s) to comments.
"Run 1600 meters
Rest 3 minutes
Run 1200 meters
Rest 2 minutes
Run 800 meters
Rest 1 minute
Run 400 meters",Post times to comments.
"""Fight Gone Bad!""","Three rounds of:
Wall-ball, 20 pound ball, 10 ft target (Reps)
Sumo deadlift high-pull, 75 pounds (Reps)
Box Jump, 20"" box (Reps)
Push-press, 75 pounds (Reps)
Row (Calories)"
Rest Day,
"""J.T.""","21-15-9 reps of:
Handstand push-ups
Ring dips
Push-ups"
CrossFit Games Open 11.3,"Complete as many rounds and reps as possible in 5 minutes of:
165 pound Squat clean
165 pound Jerk"
"""Michael""","Three rounds for time of:
Run 800 meters
50 Back Extensions
50 Sit-ups"
Rest Day,
"""Diane""","21-15-9 reps of:
225 pound Deadlift
Handstand push-ups"
"Five rounds for time of:
Run 400 meters
5 Back squats",Russell Berger 12:17 at 315lbs. Post load and time to comments.
30 Muscle-ups for time,Brandon Pastorek 4:20. Post time to comments.
Rest Day,
CrossFit Games Open 11.2,"Complete as many rounds and reps as possible in 15 minutes of:
155 pound Deadlift, 9 reps
12 Push-ups
15 Box jumps, 24"" box"
Thruster 3-3-3-3-3-3-3,"Rob Orlando 245lbs, Brandon Pastorek 110kg. Post loads to comments."
"For time:
75 Squats
50 Pull-ups
20 Ring dips
50 Squats
35 Pull-ups
15 Ring dips
25 Squats
20 Pull-ups
10 Ring dips","Russell Berger 5:50, Kim Malz 12:31. Post time to comments."
Rest Day,
"""Abbate""","Run 1 mile
155 pound Clean and jerk, 21 reps
Run 800 meters
155 pound Clean and jerk, 21 reps
Run 1 Mile"
"21-15-9 reps of:
225 pound Deadlift
135 pound Overhead squat",Post time to comments.
"Five rounds for time of:
15 Medicine ball cleans, 20 pound ball
15 Wall ball shots, 20 pound ball","Keegan Martin 6:32 (age 17), Matt Ross 7:05 (age 14). Post time to comments."
Rest Day,
"For time:
70 Burpees
60 Sit-ups
50 Kettlebell swings, 1.5 poods
40 Pull-ups
30 Handstand push-ups","Kristan Clever 9:56 (1pood KB), Michelle Kinney 15:10 (1.5 pood KB).
Post time to comments."
Run 10K,Post time to comments.
"For time:
135 pound Front squat, 10 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 9 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 8 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 7 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 6 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 5 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 4 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 3 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 2 reps
15 ft Rope Climb, 1 ascent
135 pound Front squat, 1 rep
15 ft Rope Climb, 1 ascent",Chris Spealler 4:47. Post time to comments.
Rest Day,
"""Weaver""","Four rounds for time of:
10 L-pull-ups
15 Push-ups
15 Chest to bar Pull-ups
15 Push-ups
20 Pull-ups
15 Push-ups"
"Overhead squat 1-1-1-1-1 reps
Front squat 1-1-1-1-1 reps
Back squat 1-1-1-1-1 reps",Try to increase the load on each of the fifteen sets.
CrossFit Games Open 11.1,"Complete as many rounds and reps as possible in 10 minutes of:
30 Double-unders
15 Power snatches"
Rest Day,
Behind the neck Jerk 1-1-1-1-1-1-1,"Russell Berger: 265-275-285-295-300x-300x-300lbs.
Post loads to comments."
"Seven rounds for time of:
10 Wallball shots, 20 pound ball
10 Pull-ups","Russell Berger 3:43, Ben Smith 3:50, Austin Malleolo 4:01, Chad Wittman 4:09, Keegan Martin 4:10 (age 17), Kristan Clever 5:39 (16lb ball), Rebecca Voigt 6:08 (16lb ball).
Post time to comments."
"For time:
Run 1 mile
100 Sit-ups
100 Back extensions
Run 1 mile",Mix and match back extensions and sit-ups as needed.
Rest Day,
"With a continuously running clock do one pull-up the first minute, two pull-ups the second minute, three pull-ups the third minute... continuing as long as you are able.",Use as many sets each minute as needed.
"Complete as many rounds as possible in 12 minutes of:
185 pound Bench press, 3 reps
225 pound Back squat, 5 reps","Rob Orlando 19 rounds + 3 bench, Jeremy Thiel 16 rounds + 3 bench, Kristan Clever 15 rounds + 2 bench (125lb bench, 155lb squat), Jake Cutting 14 rounds + 3 squat, Russell Berger 13 rounds, Nick Lobotsky 10 rounds + 3 bench.
Post rounds completed to comments."
"Ten rounds, each for time of:
100 meter Sprint
Rest 90 seconds",Post times for each round to comments.
Rest Day,
"Four rounds for time of:
7 Muscle-ups
225 pound Deadlift, 15 reps
Walking Lunge, 30 steps","Russell Berger 6:55, Austin Malleolo 7:03, Lucas Brainerd 8:14, Michael Giardina 9:37, Rob Miller 9:43, Leah Polaski 14:33.
Post time to comments."
Shoulder Press 3-3-3-3-3-3-3,Post loads to comments.
"Five rounds for time of:
135 pound Back squat, 20 reps
Handstand walk 20 yards","Connor Martin 12:02, Kim Malz 12:49 (95lbs), Kevin Montoya 13:20, Duncan Martin 10:18 (age 12, 65lbs, 10yds), Jack Marks 11:03 (age 12, 65lbs, 10yds).
Post time to comments."
Rest Day,
"Three rounds for time of:
Run 400 meters
75 pound Squat snatch, 15 reps
9 Handstand push-ups","Kevin Montoya 8:34, Dave Lipson 9:14, Camille Leblanc-Bazinet 9:16 (55lbs), Chad Wittman 10:42, Elyse Umeda 12:46 (75lbs).
Post time to comments."
